City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,flying fish cove,-10.4217,105.6791,25.82,78,100,6.69,CX,1690005811
113,lospalos,-8.5186,127.0025,24.96,63,39,4.78,TL,1690005812
114,qaqortoq,60.7167,-46.0333,6.02,97,76,0.31,GL,1690005813
115,pochinok,54.4068,32.4407,17.53,63,37,3.24,RU,1690005814
116,petropavlovsk-kamchatsky,53.0452,158.6483,24.33,57,40,3.0,RU,1690005814
117,la passe,45.5549,-0.8967,17.77,70,0,1.98,FR,1690005815
118,zhangatas,43.5667,69.75,33.56,19,0,6.36,KZ,1690005816
119,yeed,4.55,43.0333,26.03,62,75,11.06,SO,1690005818
120,bloemfontein,-29.1211,26.214,6.54,90,25,5.52,ZA,1690005819
121,weno,7.4515,151.8468,28.73,77,99,6.07,FM,1690005819
122,cidreira,-30.1811,-50.2056,16.55,94,66,5.26,BR,1690005820
123,kavaratti,10.5669,72.642,28.34,81,89,9.39,IN,1690005820
124,villa de cos,23.2833,-102.35,19.5,61,69,5.48,MX,1690005821
125,wajir,1.7471,40.0573,25.75,64,58,9.01,KE,1690005822
126,yunyang,33.4474,112.7142,34.49,49,0,2.97,CN,1690005823
127,lautoka,-17.6167,177.4667,23.92,78,20,1.03,FJ,1690005824
128,ushuaia,-54.8,-68.3,-6.71,81,47,2.35,AR,1690005824
129,inarajan village,13.2736,144.7484,32.54,83,85,5.6,GU,1690005825
130,gadzhiyevo,69.2551,33.3362,9.94,75,98,8.44,RU,1690005826
131,ust-tsilma,65.441,52.1498,17.56,83,88,2.38,RU,1690005827
132,olonkinbyen,70.9221,-8.7187,5.76,79,99,2.61,SJ,1690005828
133,ancud,-41.8697,-73.8203,7.78,89,94,2.24,CL,1690005828
134,qui nhon,13.7667,109.2333,29.99,67,99,3.78,VN,1690005716
135,santa cruz,-17.8,-63.1667,21.1,59,0,5.52,BO,1690005830
136,amarante,-6.2411,-42.8547,18.85,62,3,1.91,BR,1690005830
137,westport,41.1415,-73.3579,23.19,88,0,2.06,US,1690005831
